Factor,heron_score_latest
heron_score_latest,1
confidence_latest,0.624210281
tax_payments_last_365_days,0.247330964
revenue_daily_average_last_120_days,0.237288003
revenue_daily_average_last_365_days,0.236667974
revenue_daily_average_last_90_days,0.230468241
revenue_daily_average_last_180_days,0.230274898
revenue_monthly_average_last_3_calendar_months,0.219773209
revenue_daily_average_last_30_days,0.218191723
revenue_monthly_average_last_12_calendar_months,0.214114472
revenue_profit_and_loss_last_3_calendar_months,0.213007801
revenue_last_3_calendar_months,0.212691033
revenue_monthly_average_last_6_calendar_months,0.205826147
annualized_revenue_last_3_calendar_months,0.204879234
annualized_revenue_profit_and_loss_last_3_calendar_months,0.204647288
annualized_revenue_profit_and_loss_last_12_calendar_months,0.198039639
annualized_revenue_last_12_calendar_months,0.198039639
revenue_last_12_calendar_months,0.198039639
revenue_profit_and_loss_last_12_calendar_months,0.198039639
revenue_last_6_calendar_months,0.194516545
revenue_profit_and_loss_last_6_calendar_months,0.194516545
annualized_revenue_profit_and_loss_last_6_calendar_months,0.190279943
annualized_revenue_last_6_calendar_months,0.190279943
revenue_monthly_average_last_1_calendar_months,0.185335104
revenue_profit_and_loss_last_1_calendar_months,0.185331994
revenue_last_1_calendar_months,0.18533053
gross_operating_cashflow_daily_average_last_120_days,0.18482095
opex_daily_average_last_365_days,0.174117926
annualized_revenue_last_1_calendar_months,0.172369871
annualized_revenue_profit_and_loss_last_1_calendar_months,0.172332136
gross_operating_cashflow_daily_average_last_180_days,0.167747079
data_coverage_latest,0.167341724
gross_operating_cashflow_daily_average_last_90_days,0.165940605
opex_last_12_calendar_months,0.164784799
opex_profit_and_loss_last_12_calendar_months,0.164784799
opex_daily_average_last_180_days,0.16302599
gross_operating_cashflow_profit_and_loss_last_3_calendar_months,0.159772695
gross_operating_cashflow_last_3_calendar_months,0.159772695
opex_daily_average_last_90_days,0.158148701
opex_daily_average_last_120_days,0.155839431
gross_operating_cashflow_daily_average_last_30_days,0.154591338
opex_profit_and_loss_last_6_calendar_months,0.148435165
opex_last_6_calendar_months,0.148435165
tax_payment_amount_last_365_days,0.148080795
gross_operating_cashflow_profit_and_loss_last_6_calendar_months,0.147235118
gross_operating_cashflow_last_6_calendar_months,0.147235118
opex_last_3_calendar_months,0.145090083
opex_profit_and_loss_last_3_calendar_months,0.14457051
gross_operating_cashflow_last_1_calendar_months,0.140429568
gross_operating_cashflow_profit_and_loss_last_1_calendar_months,0.140429568
opex_last_1_calendar_months,0.135206107
opex_profit_and_loss_last_1_calendar_months,0.135026739
opex_daily_average_last_30_days,0.131863796
deposit_days_last_365_days,0.116687704
deposit_days_last_12_calendar_months,0.113515609
deposit_days_last_3_calendar_months,0.111773227
deposit_days_last_120_days,0.108514911
inflows_last_365_days,0.105774913
deposit_days_last_30_days,0.104841942
deposit_days_last_180_days,0.104069969
deposit_days_last_90_days,0.103767309
outflows_last_365_days,0.103243602
deposit_days_last_1_calendar_months,0.102626042
deposit_days_last_6_calendar_months,0.101280521
inflows_last_120_days,0.100836803
inflows_last_30_days,0.099707348
outflows_last_120_days,0.099250567
outflows_last_90_days,0.099244614
outflows_last_180_days,0.098022663
inflows_last_180_days,0.097917273
last_debt_investment_days_latest,0.09780686
inflows_last_90_days,0.094686814
gross_operating_cashflow_daily_average_last_365_days,0.092339863
outflows_last_30_days,0.085543773
cogs_profit_and_loss_last_1_calendar_months,0.083930499
cogs_last_1_calendar_months,0.083860202
merchant_coverage_latest,0.082459061
cogs_last_3_calendar_months,0.075385175
cogs_profit_and_loss_last_3_calendar_months,0.075302378
inflow_amount_last_6_calendar_months,0.070033211
predicted_balance_daily_average_next_30_days,0.06954127
predicted_balance_daily_average_next_60_days,0.06954127
predicted_balance_daily_average_next_90_days,0.06954127
gross_operating_cashflow_profit_and_loss_last_12_calendar_months,0.067844689
gross_operating_cashflow_last_12_calendar_months,0.067844689
cogs_daily_average_last_120_days,0.065547058
cogs_daily_average_last_90_days,0.065204775
cogs_last_6_calendar_months,0.064246394
cogs_profit_and_loss_last_6_calendar_months,0.064246394
revenue_anomalies_latest,0.061920828
weekday_with_lowest_avg_last_90_days,0.060229709
last_debt_investment_latest,0.056318321
cogs_daily_average_last_30_days,0.053315888
cogs_daily_average_last_180_days,0.052591218
debt_investors_last_30_days,0.050167246
net_operating_cashflow_last_12_calendar_months,0.048557934
net_operating_cashflow_profit_and_loss_last_12_calendar_months,0.048557934
net_operating_cashflow_daily_average_last_365_days,0.047307156
net_operating_cashflow_last_6_calendar_months,0.045151261
net_operating_cashflow_profit_and_loss_last_6_calendar_months,0.045151261
net_operating_cashflow_daily_average_last_180_days,0.044250627
revenue_sources_last_365_days,0.044087013
net_operating_cashflow_last_3_calendar_months,0.043814368
net_operating_cashflow_profit_and_loss_last_3_calendar_months,0.043814368
net_operating_cashflow_daily_average_last_120_days,0.043336444
nsf_days_next_90_days,0.041668663
net_operating_cashflow_daily_average_last_90_days,0.041576525
net_operating_cashflow_daily_average_last_30_days,0.04050802
net_operating_cashflow_profit_and_loss_last_1_calendar_months,0.039056577
net_operating_cashflow_last_1_calendar_months,0.039056577
cogs_last_12_calendar_months,0.038135737
cogs_profit_and_loss_last_12_calendar_months,0.038135737
debt_repayment_last_3_calendar_months,0.03761082
cogs_daily_average_last_365_days,0.034480679
outflow_daily_average_last_365_days,0.031023667
data_volume_latest,0.030784169
debt_repayment_last_6_calendar_months,0.030409867
revenue_daily_average_next_180_days,0.027914233
average_credit_card_spend_last_1_calendar_months,0.026779347
has_balance_ratio_latest,0.026550789
debt_repayment_last_12_calendar_months,0.023605875
debt_repayment_last_1_calendar_months,0.021814477
latest_balance_latest,0.021283819
balance_minimum_last_90_days,0.020676086
balance_minimum_last_120_days,0.020598224
change_in_balance_last_180_days,0.019019798
debt_service_coverage_ratio_last_12_calendar_months,0.018976669
balance_average_last_1_calendar_months,0.018382604
balance_minimum_last_365_days,0.018357613
balance_average_last_3_calendar_months,0.016137035
inflow_growth_rate_last_6_calendar_months,0.016062173
balance_average_last_30_days,0.015953668
balance_average_last_12_calendar_months,0.015886497
balance_average_last_120_days,0.015712839
balance_average_last_180_days,0.015562538
debt_service_coverage_ratio_last_3_calendar_months,0.015505369
balance_average_last_6_calendar_months,0.015421884
balance_average_last_365_days,0.014981775
change_in_balance_last_90_days,0.014857566
nsf_days_next_60_days,0.014459323
balance_average_last_90_days,0.014448796
nsf_days_last_90_days,0.014334316
balance_minimum_last_180_days,0.014318005
debt_repayment_daily_average_last_365_days,0.01343005
nsf_fees_last_30_days,0.013221693
debt_repayment_daily_average_last_180_days,0.010434472
balance_minimum_last_30_days,0.010387897
nsf_fees_last_90_days,0.010077818
nsf_fees_last_120_days,0.0085464
inflow_daily_average_last_365_days,0.008411618
debt_investors_last_120_days,0.008096286
nsf_days_last_120_days,0.006381963
nsf_days_last_30_days,0.006032824
nsf_fees_last_6_calendar_months,0.00520172
nsf_days_last_180_days,0.004824484
revenue_daily_average_next_60_days,0.004437124
debt_repayment_daily_average_last_120_days,0.003628728
nsf_fees_last_180_days,0.00304083
debt_service_coverage_ratio_last_6_calendar_months,0.002727812
debt_investors_last_90_days,0.001171089
average_credit_card_spend_last_3_calendar_months,0.000717862
average_credit_card_spend_last_6_calendar_months,0.000244082
predicted_nsf_fees_next_60_days,-0.000489537
debt_repayment_daily_average_last_90_days,-0.000890239
revenue_daily_average_next_90_days,-0.001591054
average_credit_card_spend_last_12_calendar_months,-0.003235748
revenue_growth_rate_last_6_calendar_months,-0.004121099
nsf_fees_last_365_days,-0.005844476
debt_service_coverage_ratio_last_1_calendar_months,-0.007257594
predicted_nsf_fees_next_30_days,-0.007847884
nsf_days_next_30_days,-0.009278555
nsf_days_last_365_days,-0.01067817
debt_investors_last_180_days,-0.012156019
debt_investors_last_365_days,-0.013887692
debt_repayment_daily_average_last_30_days,-0.014179902
change_in_balance_last_30_days,-0.016768429
unconnected_account_ratio_last_365_days,-0.017940207
weekday_balance_average_last_90_days,-0.018139697
nsf_days_next_180_days,-0.022413481
revenue_daily_average_next_30_days,-0.029775678
debt_investment_last_365_days,-0.032170842
debt_investment_last_180_days,-0.034349618
predicted_nsf_fees_next_90_days,-0.037134083
debt_investment_last_120_days,-0.04059225
debt_investment_last_90_days,-0.044076653
debt_investment_last_30_days,-0.044171938
weekday_with_highest_avg_last_90_days,-0.04418306
atm_withdrawals_last_365_days,-0.049330603
accounts_latest,-0.05867646
merchant_heron_ids_latest,-0.059576042
date_range_latest,-0.085920786
debt_investment_count_last_365_days,-0.105863071
negative_balance_days_last_30_days,-0.111423031
negative_balance_days_by_account_last_30_days,-0.114872823
negative_balance_days_by_account_last_90_days,-0.116227221
negative_balance_days_by_account_last_365_days,-0.120535573
negative_balance_days_by_account_last_120_days,-0.122875
negative_balance_days_last_90_days,-0.123639292
negative_balance_days_last_120_days,-0.128296819
negative_balance_days_by_account_last_180_days,-0.141734767
negative_balance_days_by_account_last_6_calendar_months,-0.143470472
negative_balance_days_last_180_days,-0.144225528
negative_balance_days_last_365_days,-0.151955314
category_coverage_latest,
data_freshness_latest,
debt_collection_last_365_days,
distinct_mcas_from_inflows_last_120_days,
distinct_mcas_from_inflows_last_180_days,
distinct_mcas_from_inflows_last_30_days,
distinct_mcas_from_inflows_last_365_days,
distinct_mcas_from_inflows_last_90_days,
distinct_mcas_from_outflows_last_120_days,
distinct_mcas_from_outflows_last_180_days,
distinct_mcas_from_outflows_last_30_days,
distinct_mcas_from_outflows_last_365_days,
distinct_mcas_from_outflows_last_90_days,
potentially_duplicated_account_pairs_latest,