heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,iqr_distance,outlier_score,outlier_method,metric_name
eus_aevWDqEJEXAC69bMUqXDWB,latest_balance,latest,736894.9,balance,amount,Latest balance across accounts,10.595961543339246,10.595961543339246,IQR,latest_balance
eus_ak6VH2ecLDS3KW5YTgYFax,latest_balance,latest,165847.93,balance,amount,Latest balance across accounts,1.5996404366968668,1.5996404366968668,IQR,latest_balance
eus_9JzxpuzmBqp5W5dapzx7Cr,latest_balance,latest,725246.61,balance,amount,Latest balance across accounts,10.412453421085676,10.412453421085676,IQR,latest_balance
eus_guFTnCKn7sZEx8Cm8ZKQty,latest_balance,latest,245481.74,balance,amount,Latest balance across accounts,2.854198053394052,2.854198053394052,IQR,latest_balance
eus_JmPbN6nWLS2oS9XcoRhMeY,latest_balance,latest,301173.08,balance,amount,Latest balance across accounts,3.7315640212043655,3.7315640212043655,IQR,latest_balance
eus_PhY6cobDJdpYC2VpzKcVDT,latest_balance,latest,492169.66,balance,amount,Latest balance across accounts,6.740539909738559,6.740539909738559,IQR,latest_balance
eus_8q6YmYXTqfCwYM3P75qqip,latest_balance,latest,233737.75,balance,amount,Latest balance across accounts,2.669182265440222,2.669182265440222,IQR,latest_balance
eus_PbadunUhuXT53Tj2hVYrgV,latest_balance,latest,211970.47,balance,amount,Latest balance across accounts,2.32625873938037,2.32625873938037,IQR,latest_balance
eus_Ygrn9HsoNCqeaJVDVPf84m,latest_balance,latest,237164.5,balance,amount,Latest balance across accounts,2.723167567826446,2.723167567826446,IQR,latest_balance
eus_6ujJHMeGbGVGfd8cZFCrPX,latest_balance,latest,165587.56,balance,amount,Latest balance across accounts,1.5955385462227147,1.5955385462227147,IQR,latest_balance
eus_gc6DCMnJsZKJYcJH3o3bKZ,latest_balance,latest,259954.66,balance,amount,Latest balance across accounts,3.082205629847433,3.082205629847433,IQR,latest_balance
eus_A5qxHwdCQj4B2RDVjoEdc7,latest_balance,latest,1007022.34,balance,amount,Latest balance across accounts,14.851571532750928,14.851571532750928,IQR,latest_balance
eus_muQ63CiyZorvBMsyMLsVUY,latest_balance,latest,379267.98,balance,amount,Latest balance across accounts,4.961877522720933,4.961877522720933,IQR,latest_balance
eus_GpcrpTzs73TAsZXpWfqt7J,latest_balance,latest,414287.75,balance,amount,Latest balance across accounts,5.513581870264816,5.513581870264816,IQR,latest_balance
eus_mpucMpMfq78bStinjgaq4U,latest_balance,latest,325022.7,balance,amount,Latest balance across accounts,4.107292903526253,4.107292903526253,IQR,latest_balance
eus_264GctgNhcqHemTqT2DgGy,latest_balance,latest,631449.9,balance,amount,Latest balance across accounts,8.934772308607986,8.934772308607986,IQR,latest_balance
eus_Ey5YLt4CkQugXTfd4ntErb,latest_balance,latest,197502.67,balance,amount,Latest balance across accounts,2.0983318238296573,2.0983318238296573,IQR,latest_balance
eus_W7NokqUBz9f92LWbGLxM9S,latest_balance,latest,196380.43,balance,amount,Latest balance across accounts,2.0806519622261215,2.0806519622261215,IQR,latest_balance
eus_WQT7NNsuuuVkDmcy7Fqrf7,latest_balance,latest,4182776.16,balance,amount,Latest balance across accounts,64.88265937893311,64.88265937893311,IQR,latest_balance
eus_T2K27jz9XgjHzMqRFmWZyM,latest_balance,latest,521825.16,balance,amount,Latest balance across accounts,7.207735104869413,7.207735104869413,IQR,latest_balance
eus_iL2xiCohwqnH3cxBpwfL2S,latest_balance,latest,366816.69,balance,amount,Latest balance across accounts,4.765718872177834,4.765718872177834,IQR,latest_balance
eus_Sf6q3tFMsx4JuuFVFLuY7C,latest_balance,latest,547843.53,balance,amount,Latest balance across accounts,7.617630653726685,7.617630653726685,IQR,latest_balance
eus_nXGjUTVwbugZQc2Fh7eqhp,latest_balance,latest,317417.36,balance,amount,Latest balance across accounts,3.987477749327655,3.987477749327655,IQR,latest_balance
eus_JChSBsnFxCf7R7PCTTVpAv,latest_balance,latest,322601.7,balance,amount,Latest balance across accounts,4.069152269667043,4.069152269667043,IQR,latest_balance
eus_MuEwbUdTRUZH5AbunkHgGZ,latest_balance,latest,3690977.29,balance,amount,Latest balance across accounts,57.13481938180666,57.13481938180666,IQR,latest_balance
eus_UnZEKzRGc8AV5PmHBFwSnk,latest_balance,latest,821207.6,balance,amount,Latest balance across accounts,11.924230779349738,11.924230779349738,IQR,latest_balance
eus_cyRqYTYLQy4kdjXSnQofPQ,latest_balance,latest,586261.89,balance,amount,Latest balance across accounts,8.222876668692118,8.222876668692118,IQR,latest_balance
eus_npjGPCReazDCwp6AQZUJYB,latest_balance,latest,330660.6,balance,amount,Latest balance across accounts,4.196112845548078,4.196112845548078,IQR,latest_balance
eus_XQb8CZqkjgYkowiC7YpXbh,latest_balance,latest,377537.27,balance,amount,Latest balance across accounts,4.934611774506776,4.934611774506776,IQR,latest_balance
eus_Yc4YM6Sd9Dh9YnyQz36oEi,latest_balance,latest,286451.49,balance,amount,Latest balance across accounts,3.4996388770426945,3.4996388770426945,IQR,latest_balance
eus_2PhhrxvNACnfnfRhR5X85J,latest_balance,latest,508870.17,balance,amount,Latest balance across accounts,7.003641122944702,7.003641122944702,IQR,latest_balance
eus_C9xZHaxi9mVZDieFSGpHmi,latest_balance,latest,1698795.46,balance,amount,Latest balance across accounts,25.749822372719223,25.749822372719223,IQR,latest_balance
eus_StirsLibxeJ94sUm2s3QzX,latest_balance,latest,180708.23,balance,amount,Latest balance across accounts,1.8337508296493727,1.8337508296493727,IQR,latest_balance
eus_e4aJCzEiZZVrjxMUxhw5rB,latest_balance,latest,525485.81,balance,amount,Latest balance across accounts,7.265405287164631,7.265405287164631,IQR,latest_balance
eus_nYMjeGRoVXkXu7zdz66rmY,latest_balance,latest,184217.47,balance,amount,Latest balance across accounts,1.8890356863053386,1.8890356863053386,IQR,latest_balance
eus_UTdiJmAKvEWiveNznN79rZ,latest_balance,latest,317519.53,balance,amount,Latest balance across accounts,3.9890873439420282,3.9890873439420282,IQR,latest_balance
eus_iafyXT3apwMJyQXyyZYFXu,latest_balance,latest,168764.81,balance,amount,Latest balance across accounts,1.64559320501213,1.64559320501213,IQR,latest_balance
eus_XgiVxUvHAjGEkHfwqCpD5g,latest_balance,latest,490702.3,balance,amount,Latest balance across accounts,6.717422999164561,6.717422999164561,IQR,latest_balance
eus_8UYcJTaxNfpB7FgtLLGKGJ,latest_balance,latest,374235.53,balance,amount,Latest balance across accounts,4.882595889980421,4.882595889980421,IQR,latest_balance
eus_94Hzy8h4eLF22e4T6wmW3t,latest_balance,latest,517497.23,balance,amount,Latest balance across accounts,7.139552538368675,7.139552538368675,IQR,latest_balance
eus_cFTa6dWJVEtmuGqJd5HG7G,latest_balance,latest,574028.07,balance,amount,Latest balance across accounts,8.030144058481676,8.030144058481676,IQR,latest_balance
eus_dmgHDSBBr7j2aJbSVyBnoZ,latest_balance,latest,492835.95,balance,amount,Latest balance across accounts,6.751036697402357,6.751036697402357,IQR,latest_balance
eus_n9NgwueADRPAofixncdEWx,latest_balance,latest,437809.16,balance,amount,Latest balance across accounts,5.884140105152199,5.884140105152199,IQR,latest_balance
eus_dU9cC4ctaNB2BFZMX2Cqt4,latest_balance,latest,461340.88,balance,amount,Latest balance across accounts,6.2548607646307,6.2548607646307,IQR,latest_balance
eus_ehZ4PeZQSyHNbYUGmcwYJG,latest_balance,latest,2226559.92,balance,amount,Latest balance across accounts,34.06426724374922,34.06426724374922,IQR,latest_balance
eus_6GEW87T9xZYTWYfdTQcfyM,latest_balance,latest,166130.65,balance,amount,Latest balance across accounts,1.6040944309160639,1.6040944309160639,IQR,latest_balance
eus_eiMoEzEaMyJ5kDvBizpmyv,latest_balance,latest,188626.2,balance,amount,Latest balance across accounts,1.9584911826763072,1.9584911826763072,IQR,latest_balance
eus_bg9bQ6DR8z4jskaj9LtUvT,latest_balance,latest,163869.09,balance,amount,Latest balance across accounts,1.5684656279789988,1.5684656279789988,IQR,latest_balance
eus_7wu27yLAB9rAcksUeJXi7Z,latest_balance,latest,679288.64,balance,amount,Latest balance across accounts,9.688427767767811,9.688427767767811,IQR,latest_balance
eus_Zs6Fd5fFKSfV7DvkoTBvRb,latest_balance,latest,211963.9,balance,amount,Latest balance across accounts,2.326155235058001,2.326155235058001,IQR,latest_balance
eus_iX5o3RgSxDg442tvAReJPd,latest_balance,latest,265915.47,balance,amount,Latest balance across accounts,3.1761127226662333,3.1761127226662333,IQR,latest_balance
eus_7KgGJ4VJ2dbC5JaVgYodCc,latest_balance,latest,1947204.41,balance,amount,Latest balance across accounts,29.66327747775878,29.66327747775878,IQR,latest_balance
eus_hRKTf89rwsFy7wuiF27pZ7,latest_balance,latest,170985.11,balance,amount,Latest balance across accounts,1.6805719945030855,1.6805719945030855,IQR,latest_balance
eus_KMmwVuRAp2ZQsb6PxfKkR5,latest_balance,latest,2233480.27,balance,amount,Latest balance across accounts,34.17329100894029,34.17329100894029,IQR,latest_balance
eus_kRqLqdqyFhEfosCdCSYdCr,latest_balance,latest,162417.61,balance,amount,Latest balance across accounts,1.5455988922359312,1.5455988922359312,IQR,latest_balance
eus_ngS8Q6FTsNdJsZmGwVFD4F,latest_balance,latest,346584.07,balance,amount,Latest balance across accounts,4.446972506447752,4.446972506447752,IQR,latest_balance
eus_ByWLuT9i35kZuzn9EeUygj,latest_balance,latest,1408102.17,balance,amount,Latest balance across accounts,21.170216284648543,21.170216284648543,IQR,latest_balance
eus_8KGRF99FDdLeKWy2GkAHvN,latest_balance,latest,208451.82,balance,amount,Latest balance across accounts,2.270825636807587,2.270825636807587,IQR,latest_balance
eus_RNFRcGrWEwBPQrn7xy3qvs,latest_balance,latest,170077.78,balance,amount,Latest balance across accounts,1.666277842780873,1.666277842780873,IQR,latest_balance
eus_CjJbqBcgVjLzWCHAo3PRPB,latest_balance,latest,182753.12,balance,amount,Latest balance across accounts,1.8659661955198226,1.8659661955198226,IQR,latest_balance
eus_ZzwmLf8twnD94HA5TXVGdA,latest_balance,latest,170877.59,balance,amount,Latest balance across accounts,1.6788781155470582,1.6788781155470582,IQR,latest_balance
eus_aaVDyY5XzDZjBqyqSjUn8A,latest_balance,latest,254195.37,balance,amount,Latest balance across accounts,2.9914732997445794,2.9914732997445794,IQR,latest_balance
eus_DHadxekc9KrDLktWRRM3vc,latest_balance,latest,309646.7,balance,amount,Latest balance across accounts,3.8650581302015063,3.8650581302015063,IQR,latest_balance
eus_hg5fuMKjYxiXyfyUcHhCXy,latest_balance,latest,344295.27,balance,amount,Latest balance across accounts,4.410914562301962,4.410914562301962,IQR,latest_balance
eus_by3Zbczv6aHpj8u6kgNULx,latest_balance,latest,283922.91,balance,amount,Latest balance across accounts,3.4598034189825038,3.4598034189825038,IQR,latest_balance
eus_UF4YzqH6fsofqgZKqDW8ka,latest_balance,latest,254858.76,balance,amount,Latest balance across accounts,3.001924400568975,3.001924400568975,IQR,latest_balance
eus_4rejW2FexfJ9dQps5BAgk4,latest_balance,latest,265005.05,balance,amount,Latest balance across accounts,3.1617698908289342,3.1617698908289342,IQR,latest_balance
eus_St2kZZ8r4i2bku66N3L3ia,latest_balance,latest,175374.51,balance,amount,Latest balance across accounts,1.7497229644583174,1.7497229644583174,IQR,latest_balance
eus_n22odijzRejrrYXKexqKfy,latest_balance,latest,904527.12,balance,amount,Latest balance across accounts,13.2368533756509,13.2368533756509,IQR,latest_balance
eus_BudBwWw4ebKCQNocdhbwV8,latest_balance,latest,476697.09,balance,amount,Latest balance across accounts,6.496783764661735,6.496783764661735,IQR,latest_balance
eus_4bMB4sJH9TtBYQJfqWkGN7,latest_balance,latest,168519.83,balance,amount,Latest balance across accounts,1.6417337698684582,1.6417337698684582,IQR,latest_balance
eus_RnN2fpcM3PNbHjDmqfpdDW,latest_balance,latest,164079.58,balance,amount,Latest balance across accounts,1.57178170481544,1.57178170481544,IQR,latest_balance
eus_hYLR9Fyc6982kEqhWkL9E8,latest_balance,latest,367795.42,balance,amount,Latest balance across accounts,4.781137865394283,4.781137865394283,IQR,latest_balance
eus_Ukh9zD9QSi6i98p9SPsV2o,latest_balance,latest,414301.74,balance,amount,Latest balance across accounts,5.513802269879723,5.513802269879723,IQR,latest_balance
eus_f8ozjLpwUnHiK3CVFBQMms,latest_balance,latest,931221.02,balance,amount,Latest balance across accounts,13.657391279894753,13.657391279894753,IQR,latest_balance
eus_Ytu2yn8yRJvujNbRbfctvq,latest_balance,latest,288003.71,balance,amount,Latest balance across accounts,3.524092679062085,3.524092679062085,IQR,latest_balance
eus_n6W3uHLx3n6KsEjYLrnvap,latest_balance,latest,589758.23,balance,amount,Latest balance across accounts,8.277958297683158,8.277958297683158,IQR,latest_balance
eus_CRW7BeqiX9W34L2iAdVecw,latest_balance,latest,252379.38,balance,amount,Latest balance across accounts,2.9628640433703595,2.9628640433703595,IQR,latest_balance
eus_D7myWHUqaPBY2FgVKr6WmG,latest_balance,latest,250960.78,balance,amount,Latest balance across accounts,2.940515301861613,2.940515301861613,IQR,latest_balance
eus_Qd5KVpsH3kkvS9MNsXyHi7,latest_balance,latest,218402.15,balance,amount,Latest balance across accounts,2.42758395705059,2.42758395705059,IQR,latest_balance
eus_oAqcdLkkV48GZgnN7FPznF,latest_balance,latest,890063.64,balance,amount,Latest balance across accounts,13.008994517736815,13.008994517736815,IQR,latest_balance
eus_JMoMD34JF2n3aiQxWDjR6b,latest_balance,latest,1081749.56,balance,amount,Latest balance across accounts,16.028830325537637,16.028830325537637,IQR,latest_balance
eus_hLgtJp6XPKbT3cksaw92ku,latest_balance,latest,183626.84,balance,amount,Latest balance across accounts,1.8797308525274512,1.8797308525274512,IQR,latest_balance
eus_X8Hs3ftrq6fdS3sZvUNzcv,latest_balance,latest,3277751.28,balance,amount,Latest balance across accounts,50.62482270749348,50.62482270749348,IQR,latest_balance
eus_JC9sdAkZyBLKPTsrACSjeg,latest_balance,latest,229289.34,balance,amount,Latest balance across accounts,2.599101647073577,2.599101647073577,IQR,latest_balance
eus_hbsjSU9X3ycgJ9NnUKWFCt,latest_balance,latest,423836.98,balance,amount,Latest balance across accounts,5.664021227996077,5.664021227996077,IQR,latest_balance
eus_oHLLSMWjqNCLvSrwVxkBjQ,latest_balance,latest,1477513.21,balance,amount,Latest balance across accounts,22.26372353885217,22.26372353885217,IQR,latest_balance
eus_hQQAczvNL22DccZZnWHFfs,latest_balance,latest,405636.4,balance,amount,Latest balance across accounts,5.377287788175649,5.377287788175649,IQR,latest_balance
eus_8Qki65WCbMyU7QFMrgn8h4,latest_balance,latest,196987.43,balance,amount,Latest balance across accounts,2.09021469033539,2.09021469033539,IQR,latest_balance
eus_HrshvesEBrt9g9RJ5UmdUS,latest_balance,latest,404694.36,balance,amount,Latest balance across accounts,5.362446812248044,5.362446812248044,IQR,latest_balance
eus_UyAtANKnET3oKAWLRy9CzM,latest_balance,latest,220577.16,balance,amount,Latest balance across accounts,2.4618492441427504,2.4618492441427504,IQR,latest_balance
eus_Xq9h3mDXjbWMiV6e8yrA5m,latest_balance,latest,282034.2,balance,amount,Latest balance across accounts,3.4300485257250783,3.4300485257250783,IQR,latest_balance
eus_beAaTf6EW3ARRCihMvmA5u,latest_balance,latest,175527.47,balance,amount,Latest balance across accounts,1.752132708925523,1.752132708925523,IQR,latest_balance
eus_ecyqE7TRsonFrVwmSekwSy,latest_balance,latest,342634.81,balance,amount,Latest balance across accounts,4.384755538387107,4.384755538387107,IQR,latest_balance
eus_BDSQvH2xoXXbhW6kZh4qeh,latest_balance,latest,391630.46,balance,amount,Latest balance across accounts,5.156637053192558,5.156637053192558,IQR,latest_balance
eus_9o4fEK4vxqyBhi9pkggaNh,latest_balance,latest,635784.34,balance,amount,Latest balance across accounts,9.00305743418614,9.00305743418614,IQR,latest_balance
eus_4C4mJ7cAbSFhHGkpo4dYs4,latest_balance,latest,18134946.17,balance,amount,Latest balance across accounts,284.6862975007251,284.6862975007251,IQR,latest_balance
eus_bdPUwVi9QXk5f56Ap5dky4,latest_balance,latest,193436.83,balance,amount,Latest balance across accounts,2.03427824482506,2.03427824482506,IQR,latest_balance
eus_8QFDn7qBVp5GgHQdkeH4Ub,latest_balance,latest,224656.74,balance,amount,Latest balance across accounts,2.526119284241617,2.526119284241617,IQR,latest_balance
eus_83msQ2mN2AJqvikrKrkXiK,latest_balance,latest,195832.14,balance,amount,Latest balance across accounts,2.0720141563035,2.0720141563035,IQR,latest_balance
eus_Tzt8RYKaMRadwVU9NxXm7J,latest_balance,latest,533881.59,balance,amount,Latest balance across accounts,7.397673098375897,7.397673098375897,IQR,latest_balance
eus_cizQnjQC2U4FbwBrX48VKa,latest_balance,latest,231547.15,balance,amount,Latest balance across accounts,2.634671372201071,2.634671372201071,IQR,latest_balance
eus_kuNSUzP65WNDkWFgTA7i4Y,latest_balance,latest,208049.65,balance,amount,Latest balance across accounts,2.264489817427513,2.264489817427513,IQR,latest_balance
eus_7DuThxadz3Dh4TcmQ8E3Z6,latest_balance,latest,445432.79,balance,amount,Latest balance across accounts,6.004243401520679,6.004243401520679,IQR,latest_balance
eus_YzkQef93nMj7vroz5J2D8A,latest_balance,latest,279246.14,balance,amount,Latest balance across accounts,3.3861251983242076,3.3861251983242076,IQR,latest_balance
eus_UqbRXcpuXaoNSV338wXvRF,latest_balance,latest,570846.65,balance,amount,Latest balance across accounts,7.980023705168018,7.980023705168018,IQR,latest_balance
eus_kPBKyJuR8PakMDE6xtAT6r,latest_balance,latest,861298.25,balance,amount,Latest balance across accounts,12.555822189026621,12.555822189026621,IQR,latest_balance
eus_VcWE4v8qPbd2SuvPNuneRM,latest_balance,latest,171373.77,balance,amount,Latest balance across accounts,1.6866949762278771,1.6866949762278771,IQR,latest_balance
eus_j9FrAYZf5sjk2JnpqTzwP7,latest_balance,latest,326894.93,balance,amount,Latest balance across accounts,4.136788169503215,4.136788169503215,IQR,latest_balance
eus_JWDXcdPcNFN9Kh4CT9n9vr,latest_balance,latest,450959.69,balance,amount,Latest balance across accounts,6.091314640379195,6.091314640379195,IQR,latest_balance
eus_G6KCnP2tHugxkfsSiu2ukK,latest_balance,latest,187181.5,balance,amount,Latest balance across accounts,1.9357312596129446,1.9357312596129446,IQR,latest_balance
eus_7tvs6ugWBFkE7dg3Zx9XJB,latest_balance,latest,278932.43,balance,amount,Latest balance across accounts,3.381182985086713,3.381182985086713,IQR,latest_balance
eus_iRU2FbRmR8vgitDKwLKSwF,latest_balance,latest,539269.74,balance,amount,Latest balance across accounts,7.482558458280276,7.482558458280276,IQR,latest_balance
eus_L8qwooxABDqcjUFLJSfoW9,latest_balance,latest,2688430.7,balance,amount,Latest balance across accounts,41.34061764038188,41.34061764038188,IQR,latest_balance
eus_dHG6i5E2tFiWZma5546KiK,latest_balance,latest,227301.38,balance,amount,Latest balance across accounts,2.567783161122832,2.567783161122832,IQR,latest_balance
eus_cmRvYbEoQmV5Unz9MbFdCt,latest_balance,latest,160131.43,balance,amount,Latest balance across accounts,1.5095822237864276,1.5095822237864276,IQR,latest_balance
eus_JQaMd22oWdbsWTz8RZpS8P,latest_balance,latest,496765.16,balance,amount,Latest balance across accounts,6.8129377961078275,6.8129377961078275,IQR,latest_balance
eus_8wwto9svqPLZyvrnGFbsnT,latest_balance,latest,661710.81,balance,amount,Latest balance across accounts,9.411505182856851,9.411505182856851,IQR,latest_balance
eus_TjTkXShQw6zJPcVevqSubu,latest_balance,latest,352717.36,balance,amount,Latest balance across accounts,4.543596863425181,4.543596863425181,IQR,latest_balance
eus_BzdrzfwKjBn5dFAQz8whNe,latest_balance,latest,218859.2601879908,balance,amount,Latest balance across accounts,2.434785308687712,2.434785308687712,IQR,latest_balance
